"state","statename","st_case","peds","pernotmvit","ve_total","ve_forms","pvh_invl","persons","permvit","county","countyname","city","cityname","month","monthname","day","dayname","day_week","day_weekname","year","hour","hourname","minute","minutename","tway_id","tway_id2","route","routename","rur_urb","rur_urbname","func_sys","func_sysname","rd_owner","rd_ownername","nhs","nhsname","sp_jur","sp_jurname","milept","mileptname","latitude","latitudename","longitud","longitudname","harm_ev","harm_evname","man_coll","man_collname","reljct1","reljct1name","reljct2","reljct2name","typ_int","typ_intname","rel_road","rel_roadname","wrk_zone","wrk_zonename","lgt_cond","lgt_condname","weather","weathername","sch_bus","sch_busname","rail","railname","not_hour","not_hourname","not_min","not_minname","arr_hour","arr_hourname","arr_min","arr_minname","hosp_hr","hosp_hrname","hosp_mn","hosp_mnname","fatals","route_category","day_type","quarter_year","day_quarter"
"1","Alabama","10002",0,0,2,2,0,5,5,101,"MONTGOMERY (101)",0,"NOT APPLICABLE",1,"January",1,1,7,"Saturday",2022,16,"4:00pm-4:59pm",40,"40","US-231 SR-53","",2,"US Highway",1,"Rural",3,"Principal Arterial - Other",1,"State Highway Agency",1,"This section IS ON the NHS",0,"No Special Jurisdiction",974,"974",32.087125,32.087125,-86.06415278,-86.06415278,12,"Motor Vehicle In-Transport",2,"Front-to-Front",0,"No",1,"Non-Junction",1,"Not an Intersection",1,"On Roadway",0,"None",1,"Daylight",1,"Clear",0,"No","0000000","Not Applicable",99,"Unknown",99,"Unknown",99,"Unknown EMS Scene Arrival Hour",99,"Unknown EMS Scene Arrival Minutes",99,"Unknown",99,"Unknown EMS Hospital Arrival Time",2,"US Highway","Weekend","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10006",1,1,1,1,0,5,5,101,"MONTGOMERY (101)",2130,"MONTGOMERY",1,"January",2,2,1,"Sunday",2022,18,"6:00pm-6:59pm",28,"28","W FAIRVIEW AVE","",6,"Local Street - Municipality",2,"Urban",4,"Minor Arterial",4,"City or Municipal Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",32.35168889,32.35168889,-86.31268611,-86.31268611,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",1,"On Roadway",0,"None",3,"Dark - Lighted",1,"Clear",0,"No","0000000","Not Applicable",18,"6:00pm-6:59pm",26,"26",18,"6:00pm-6:59pm",32,"32",99,"Unknown",99,"Unknown EMS Hospital Arrival Time",1,"Others","Weekend","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10007",0,0,2,2,0,1,1,63,"GREENE (63)",0,"NOT APPLICABLE",1,"January",4,4,3,"Tuesday",2022,9,"9:00am-9:59am",5,"5","CR-60","",4,"County Road",1,"Rural",5,"Major Collector",2,"County Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",33.05224444,33.05224444,-87.96188333,-87.96188333,12,"Motor Vehicle In-Transport",1,"Front-to-Rear",0,"No",1,"Non-Junction",1,"Not an Intersection",1,"On Roadway",0,"None",1,"Daylight",1,"Clear",0,"No","0000000","Not Applicable",99,"Unknown",99,"Unknown",99,"Unknown EMS Scene Arrival Hour",99,"Unknown EMS Scene Arrival Minutes",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"County Road","Weekday","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10008",0,0,1,1,0,1,1,101,"MONTGOMERY (101)",0,"NOT APPLICABLE",1,"January",4,4,3,"Tuesday",2022,14,"2:00pm-2:59pm",50,"50","CR-MERIWEATHER TR","",4,"County Road",1,"Rural",5,"Major Collector",2,"County Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",32.04035,32.04035,-86.04733056,-86.04733056,38,"Fence",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",1,"Daylight",1,"Clear",0,"No","0000000","Not Applicable",99,"Unknown",99,"Unknown",99,"Unknown EMS Scene Arrival Hour",99,"Unknown EMS Scene Arrival Minutes",99,"Unknown",99,"Unknown EMS Hospital Arrival Time",1,"County Road","Weekday","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10010",0,0,1,1,0,1,1,131,"WILCOX (131)",0,"NOT APPLICABLE",1,"January",5,5,4,"Wednesday",2022,0,"0:00am-0:59am",0,"0","SR-5","",3,"State Highway",1,"Rural",3,"Principal Arterial - Other",1,"State Highway Agency",1,"This section IS ON the NHS",0,"No Special Jurisdiction",52,"52",31.97055556,31.97055556,-87.66008889,-87.66008889,42,"Tree (Standing Only)",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",2,"Dark - Not Lighted",1,"Clear",0,"No","0000000","Not Applicable",0,"0:00am-0:59am",0,"0",0,"0:00am-0:59am",33,"33",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"State Highway","Weekday","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10016",0,0,1,1,0,1,1,129,"WASHINGTON (129)",0,"NOT APPLICABLE",1,"January",8,8,7,"Saturday",2022,20,"8:00pm-8:59pm",15,"15","CR-PRESTWICK RD","",4,"County Road",2,"Urban",7,"Local",2,"County Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",31.456775,31.456775,-87.95959167,-87.95959167,42,"Tree (Standing Only)",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",2,"Dark - Not Lighted",1,"Clear",0,"No","0000000","Not Applicable",20,"8:00pm-8:59pm",15,"15",20,"8:00pm-8:59pm",33,"33",99,"Unknown",99,"Unknown EMS Hospital Arrival Time",1,"County Road","Weekend","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10017",0,0,1,1,0,1,1,85,"LOWNDES (85)",0,"NOT APPLICABLE",1,"January",8,8,7,"Saturday",2022,21,"9:00pm-9:59pm",55,"55","I-65","",1,"Interstate",1,"Rural",1,"Interstate",1,"State Highway Agency",1,"This section IS ON the NHS",0,"No Special Jurisdiction",1533,"1533",32.13576389,32.13576389,-86.44289722,-86.44289722,35,"Embankment",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",2,"Dark - Not Lighted",1,"Clear",0,"No","0000000","Not Applicable",99,"Unknown",99,"Unknown",99,"Unknown EMS Scene Arrival Hour",99,"Unknown EMS Scene Arrival Minutes",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"State Highway","Weekend","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10020",0,0,1,1,0,1,1,51,"ELMORE (51)",0,"NOT APPLICABLE",1,"January",9,9,1,"Sunday",2022,19,"7:00pm-7:59pm",15,"15","CR-COLLEY RD","",4,"County Road",1,"Rural",7,"Local",2,"County Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",32.57847778,32.57847778,-86.12194722,-86.12194722,34,"Ditch",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",2,"Dark - Not Lighted",1,"Clear",0,"No","0000000","Not Applicable",99,"Unknown",99,"Unknown",99,"Unknown EMS Scene Arrival Hour",99,"Unknown EMS Scene Arrival Minutes",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"County Road","Weekend","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10021",0,0,1,1,0,1,1,97,"MOBILE (97)",0,"NOT APPLICABLE",1,"January",10,10,2,"Monday",2022,13,"1:00pm-1:59pm",50,"50","CR-BEVERLY JEFFRIES HWY","",4,"County Road",1,"Rural",5,"Major Collector",2,"County Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",31.09250833,31.09250833,-88.39952222,-88.39952222,42,"Tree (Standing Only)",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",4,"On Roadside",0,"None",1,"Daylight",1,"Clear",0,"No","0000000","Not Applicable",13,"1:00pm-1:59pm",59,"59",14,"2:00pm-2:59pm",15,"15",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"County Road","Weekday","FQ1_Year","1st Quarter (Month)"
"1","Alabama","10028",1,1,1,1,0,1,1,101,"MONTGOMERY (101)",2130,"MONTGOMERY",1,"January",17,17,2,"Monday",2022,23,"11:00pm-11:59pm",45,"45","ATLANTA HWY","",6,"Local Street - Municipality",2,"Urban",3,"Principal Arterial - Other",4,"City or Municipal Highway Agency",0,"This section IS NOT on the NHS",0,"No Special Jurisdiction",0,"None",32.38228056,32.38228056,-86.18490278,-86.18490278,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",1,"Non-Junction",1,"Not an Intersection",1,"On Roadway",0,"None",3,"Dark - Lighted",1,"Clear",0,"No","0000000","Not Applicable",23,"11:00pm-11:59pm",45,"45",23,"11:00pm-11:59pm",51,"51",88,"Not Applicable (Not Transported)",88,"Not Applicable (Not Transported)",1,"Others","Weekday","FQ1_Year","2nd Quarter (Month)"
